id,mass,GeoLocation,name,class_met,year_seen
1,21,"(50.775000, 6.083330)",Aachen,L5,1880
2,720,"(56.183330, 10.233330)",Aarhus,H6,1951
3,107000,"(54.216670, -113.000000)",Abee,EH4,1952
4,1914,"(16.883330, -99.900000)",Acapulco,Acapulcoite,1976
5,780,"(-33.166670, -64.950000)",Achiras,L6,1902
6,4239,"(32.100000, 71.800000)",Adhi Kot,EH4,1919
7,910,"(44.833330, 95.166670)",Adzhi-Bogdo (stone),LL3-6,1949
8,30000,"(44.216670, 0.616670)",Agen,H5,1814
9,1620,"(-31.600000, -65.233330)",Aguada,L6,1930
10,1440,"(-30.866670, -64.550000)",Aguila Blanca,L,1920
11,1000,"(16.398060, -9.570280)",Aioun el Atrouss,Diogenite-pm,1974
12,24000,"(19.083330, 8.383330)",Aïr,L6,1925
13,,"(50.666670, 2.333330)",Aire-sur-la-Lys,Unknown,1769
14,779,"(29.516670, 35.050000)",Akaba,L6,1949
15,1800,"(29.716670, 77.950000)",Akbarpur,H4,1838
16,3000,"(8.916670, 8.433330)",Akwanga,H,1959
17,50000,"(39.916670, 42.816670)",Akyumak,"Iron, IVA",1981
18,160,"(24.416670, 39.516670)",Al Rais,CR2-an,1957
19,700,"(13.660330, 28.960000)",Al Zarnkh,LL5,2001
20,6000,"(44.116670, 4.083330)",Alais,CI1,1806
21,2000,"(44.650000, 11.016670)",Albareto,L/LL4,1766
22,625,"(2.000000, 22.666670)",Alberta,L,1949
23,252,"(45.821330, 6.015330)",Alby sur Chéran,Eucrite-mmict,2002
24,700,"(51.783330, -1.783330)",Aldsworth,LL5,1835
25,3200,"(36.233330, 37.133330)",Aleppo,L6,1873
26,908,"(44.883330, 8.750000)",Alessandria,H5,1860
27,9251,"(50.950000, 31.816670)",Alexandrovsky,H4,1900
28,228000,"(45.266670, 10.150000)",Alfianello,L6,1883
29,32000,"(42.533330, -85.883330)",Allegan,H5,1899
30,2000000,"(26.966670, -105.316670)",Allende,CV3,1969
31,3950,"(20.745750, 32.412750)",Almahata Sitta,Ureilite-an,2008
32,6000,"(35.273330, 44.215560)",Alta'ameem,LL5,1977
33,6400,"(27.666670, 78.250000)",Ambapur Nagla,H5,1895
34,2700,"(26.583330, 85.566670)",Andhara,Stone-uncl,1880
35,3200,"(44.616670, -70.750000)",Andover,L6,1898
36,600,"(48.700000, 37.500000)",Andreevka,L3,1969
37,17900,"(20.883330, 76.866670)",Andura,H6,1939
38,256.8,"(0.000000, 0.000000)",Northwest Africa 5815,L5,
39,,"(47.466670, -0.550000)",Angers,L6,1822
40,1500,"(-22.966670, -44.316670)",Angra dos Reis (stone),Angrite,1869
41,6500,"(9.533330, 39.716670)",Ankober,H4,1942
42,2500,"(25.150000, 105.183330)",Anlong,H5,1971
43,320,"(40.810560, 140.785560)",Aomori,L6,1984
44,15000,"(53.583330, -2.716670)",Appley Bridge,LL6,1914
45,3200,"(43.866670, 5.383330)",Apt,L6,1803
46,810,"(-33.000000, -66.000000)",Arbol Solo,H5,1954
47,5070,"(38.500000, -94.300000)",Archie,H6,1932
48,7450,"(-31.416670, -60.666670)",Arroyo Aguiar,H5,1950
49,41,"(42.450000, 9.033330)",Asco,H6,1805
50,9500,"(31.805000, -97.010000)",Ash Creek,L6,2009
51,1300,"(52.050000, 0.300000)",Ashdon,L6,1923
52,2000,"(43.033330, 12.550000)",Assisi,H5,1886
53,1280,"(25.254170, 80.625000)",Atarra,L4,1920
54,94.2,"(20.066670, -103.666670)",Atemajac,L6,1896
55,265,"(34.750000, -87.000000)",Athens,LL6,1933
56,1384.2,"(34.316670, -96.150000)",Atoka,L6,1945
57,800,"(44.383330, 5.166670)",Aubres,Aubrite,1836
58,50000,"(36.166670, 3.666670)",Aumale,L6,1865
59,2000,"(44.333330, 3.233330)",Aumieres,L6,1842
60,50000,"(43.083330, 0.583330)",Ausson,L5,1858
61,9330,"(-21.460280, -49.950830)",Avanhandava,H4,1952
62,1230,"(46.000000, 13.500000)",Avce,"Iron, IIAB",1908
63,146,"(25.000000, -103.500000)",Avilez,H,1855
64,134,"(2.716670, 32.833330)",Awere,L4,1968
65,2830,"(36.800000, -108.000000)",Aztec,L6,1938
66,18000,"(48.600000, 38.000000)",Bachmut,L6,1814
67,10322,"(28.483330, 78.500000)",Bahjoi,"Iron, IAB-sLL",1934
68,3700,"(35.966670, -82.483330)",Bald Mountain,L4,1929
69,345,"(34.500000, -88.666670)",Baldwyn,L6,1922
70,1000,"(5.383330, 16.383330)",Bali,CV3,1907
71,16700,"(16.666670, 101.183330)",Ban Rong Du,"Iron, ungrouped",1993
72,11500,"(-6.916670, 107.600000)",Bandong,LL6,1871
73,15000,"(27.700000, 76.333330)",Bansur,L6,1892
74,14,"(30.400000, 78.200000)",Banswal,L5,1913
75,629,"(-6.333330, 106.000000)",Banten,CM2,1933
76,6400,"(43.950000, -0.050000)",Barbotan,H5,1790
77,,"(41.366670, 2.166670)",Barcelona (stone),OC,1704
78,3200,"(42.383330, -2.500000)",Barea,Mesosiderite-A1,1842
79,23.2,"(52.733330, 84.083330)",Barnaul,H5,1904
80,17,"(52.000000, 9.100000)",Barntrup,LL4,1886
81,4500,"(31.616670, 76.800000)",Baroti,L6,1910
82,44000,"(52.565280, -1.339720)",Barwell,L5,1965
83,29560,"(15.783330, -5.900000)",Bassikounou,H5,2006
84,15500,"(52.033330, 20.935830)",Baszkówka,L5,1994
85,21000,"(45.416670, -98.316670)",Bath,H4,1892
86,86000,"(38.250000, -83.750000)",Bath Furnace,L6,1902
87,2900,"(40.668130, -117.189130)",Battle Mountain,L6,2012
88,1557,"(11.083330, -0.183330)",Bawku,LL5,1989
89,611,"(36.750000, -93.500000)",Baxter,L6,1916
90,16000,"(39.800000, -101.200000)",Beardsley,H5,1929
91,14000,"(51.166670, -117.333330)",Beaver Creek,H5,1893
92,794,"(53.016670, -4.100000)",Beddgelert,H5,1949
93,375,"(33.600000, -96.466670)",Bells,C2-ung,1961
94,,"(-32.333330, -64.866670)",Belville,OC,1937
95,3700,"(25.366670, 82.916670)",Benares (a),LL4,1798
96,25000,"(32.250000, -8.150000)",Benguerir,LL6,2004
97,19000,"(32.866670, 10.800000)",Beni M'hira,L6,2001
98,1770.5,"(39.083330, -89.150000)",Benld,H6,1938
99,3880,"(-26.166670, 28.416670)",Benoni,H6,1943
100,45000,"(30.000000, -7.000000)",Bensour,LL6,2002
101,2840,"(45.950000, -67.550000)",Benton,LL6,1949
102,270,"(-31.910000, -58.328330)",Berduc,L6,2008
103,18000,"(11.650000, -3.650000)",Béréba,Eucrite-mmict,1924
104,1440,"(41.683330, -3.800000)",Berlanguillas,L6,1811
105,960,"(40.305830, -105.023250)",Berthoud,Eucrite-mmict,2004
106,13.9,"(42.533330, -73.833330)",Bethlehem,H,1859
107,2000,"(43.216670, -0.233330)",Beuste,L5,1859
108,1100,"(33.883330, 35.500000)",Beyrout,LL3.8,1921
109,18,"(20.883330, 74.833330)",Bhagur,L6,1877
110,678,"(26.508330, 73.115280)",Bhawad,LL6,2002
111,100,"(20.833330, 71.466670)",Bherai,L6,1893
112,1047,"(22.683330, 90.650000)",Bhola,LL3-6,1940
113,2500,"(22.083330, 86.900000)",Bholghati,Howardite,1905
114,4000,"(53.100000, 23.200000)",Bialystok,Eucrite-pmict,1827
115,1900,"(50.133330, 27.166670)",Bielokrynitschie,H4,1887
116,25000,"(12.450000, -0.083330)",Bilanga,Diogenite,1999
117,488.1,"(-33.156390, 115.676390)",Binningup,H5,1984
118,560,"(13.766670, 5.300000)",Birni N'konni,H4,1923
119,6000,"(34.166670, -80.283330)",Bishopville,Aubrite,1843
120,1039,"(25.383330, 82.600000)",Bishunpur,LL3.15,1895
121,1850,"(49.783330, 30.166670)",Bjelaja Zerkov,H6,1796
122,330000,"(60.400000, 25.800000)",Bjurböle,L/LL4,1899
123,705,"(40.916670, -78.083330)",Black Moshannan Park,L5,1941
124,2381,"(36.833330, -97.333330)",Blackwell,L5,1906
125,5100,"(31.833330, -98.833330)",Blanket,L6,1909
126,470,"(49.366670, 16.633330)",Blansko,H6,1833
127,67.8,"(40.480000, -89.004170)",Bloomington,LL6,1938
128,7500,"(33.833330, 115.833330)",Bo Xian,LL3.9,1977
129,56,"(23.000000, -102.000000)",Bocas,L6,1804
130,8800,"(12.500000, 0.700000)",Bogou,"Iron, IAB-MG",1962
131,256000,"(44.550000, 131.633330)",Boguslavka,"Iron, IIAB",1916
132,1676,"(44.866670, 10.050000)",Borgo San Donino,LL6,1808
133,8600,"(21.950000, 78.033330)",Bori,L6,1894
134,1342,"(54.233330, 52.483330)",Boriskino,CM2,1930
135,7000,"(48.150000, 24.283330)",Borkut,L5,1852
136,500,"(55.466670, 35.866670)",Borodino,H5,1812
137,614,"(51.333330, 33.883330)",Botschetschki,L4,1823
138,190,"(17.710670, -11.371500)",Boumdeid (2003),L6,2003
139,3599,"(17.174930, -11.341330)",Boumdeid (2011),L6,2011
140,5460,"(54.566670, -6.333330)",Bovedy,L3,1969
141,762,"(40.500000, -80.083330)",Bradford Woods,L,1886
142,39000,"(50.600000, 16.300000)",Braunau,"Iron, IIAB",1847
143,1500,"(50.666940, 8.183610)",Breitscheid,H5,1956
144,7250,"(53.400000, 9.100000)",Bremervörde,H/L3.9,1855
145,219,"(52.133330, 59.316670)",Brient,Eucrite-pmict,1933
146,303000,"(53.900000, -112.883330)",Bruderheim,L6,1960
147,5300,"(39.779780, 64.600350)",Bukhara,CV3,2001
148,2250,,Bulls Run,Iron?,1964
149,324,"(-31.350000, 129.190000)",Bunburra Rockhole,Eucrite,2007
150,357,"(10.016670, 9.583330)",Bununu,Howardite,1942
151,120000,"(5.000000, 48.000000)",Bur-Gheluai,H5,1919
152,1504,"(37.621940, -82.237220)",Burnwell,H4-an,1990
153,25000,"(40.200000, 29.233330)",Bursa,L6,1946
154,5000,"(46.450000, 25.783330)",Buschhof,L6,1863
155,1500,"(26.783330, 82.833330)",Bustee,Aubrite,1852
156,29000,"(27.083330, 84.083330)",Butsura,H6,1861
157,41000,"(52.996000, -109.848170)",Buzzard Coulee,H4,2008
158,25000,"(37.983330, -1.166670)",Cabezo de Mayo,L/LL6,1870
159,48500,"(35.500000, -93.500000)",Cabin Creek,"Iron, IIIAB",1886
160,212,"(43.838890, 20.333330)",Cacak,OC,1919
161,478,"(3.405000, -76.510000)",Cali,H/L4,2007
162,2400,"(11.750000, 122.333330)",Calivo,Stone-uncl,1916
163,23680,"(-7.033330, -40.166670)",Campos Sales,L5,1991
164,4000,"(39.800000, 26.600000)",Çanakkale,L6,1964
165,945,"(41.250000, 1.666670)",Cañellas,H4,1861
166,34000,"(43.383330, -5.150000)",Cangas de Onis,H5,1866
167,1400,"(38.470280, -105.241390)",Canon City,H6,1973
168,2300,"(37.266670, -89.583330)",Cape Girardeau,H6,1846
169,750,"(-30.883330, -64.550000)",Capilla del Monte,H6,1934
170,342,"(-16.664440, -69.043890)",Carancas,H4-5,2007
171,8,"(38.500000, 27.000000)",Caratash,LL6,1902
172,7300,"(36.083330, -78.066670)",Castalia,H5,1874
173,,"(43.350000, 11.500000)",Castel Berardenga,Stone-uncl,1791
174,94,"(44.383330, -68.750000)",Castine,L6,1848
175,15000,"(39.800000, 16.200000)",Castrovillari,Stone-uncl,1583
176,1360,"(36.500000, -79.250000)",Caswell County,OC,1810
177,1025,"(26.466670, -105.233330)",Ceniceros,L3.7,1988
178,45.6,"(43.200000, -96.916670)",Centerville,H5,1956
179,6460,"(45.083330, 8.300000)",Cereseto,H5,1840
180,3700,"(28.533330, 109.316670)",Chadong,L6,1998
181,0.5,"(25.366670, 81.666670)",Chail,H6,1814
182,8200,"(25.850000, 83.483330)",Chainpur,LL3.4,1907
183,18300,"(-30.783330, -58.050000)",Chajari,L5,1933
184,8800,"(20.266670, 76.016670)",Chandakapur,L5,1838
185,1100,"(27.283330, 79.050000)",Chandpur,L6,1885
186,1810,"(29.083330, 111.750000)",Changde,H5,1977
187,31500,"(46.683330, 1.050000)",Chantonnay,L6,1812
188,4300,"(36.166670, -87.333330)",Charlotte,"Iron, IVA",1835
189,27000,"(47.933330, 1.566670)",Charsonville,H6,1810
190,12000,"(29.483330, 75.500000)",Charwallas,H6,1834
191,4000,"(47.716670, 5.366670)",Chassigny,Martian (chassignite),1815
192,30000,"(47.933330, 2.916670)",Château-Renard,L6,1841
193,2945,"(41.933330, -7.466670)",Chaves,Howardite,1925
194,2936,"(-3.666670, 32.500000)",Chela,H4,1988
195,100000,"(54.816670, 61.116670)",Chelyabinsk,LL5,2013
196,100000,"(23.696390, -5.014720)",Chergach ,H5,2007
197,6000,"(53.700000, 30.100000)",Chernyi Bor,H4,1964
198,8400,"(35.033330, -81.883330)",Cherokee Springs,LL6,1933
199,705,"(46.550000, 6.816670)",Chervettaz,L5,1901
200,1700,"(50.833330, 34.000000)",Chervony Kut,Eucrite-mmict,1939
201,72,"(14.500000, 76.500000)",Chetrinahatti,Stone-uncl,1880
202,367,"(17.900000, 101.633330)",Chiang Khan,H6,1981
203,303,"(40.933330, -79.733330)",Chicora,LL6,1938
204,3920,"(-10.059440, 33.395000)",Chisenga,"Iron, IIIAB",1988
205,,"(-17.350000, 13.966670)",Chitado,L6,1966
206,4000,"(47.470830, 0.976670)",Chitenay,L6,1978
207,1600,"(-6.950000, 108.100000)",Cilimus,L5,1979
208,1455,"(32.102500, -81.872780)",Claxton,L6,1984
209,48.6,,Clohars,L4,1822
210,104000,"(44.900000, -90.283330)",Colby (Wisconsin),L6,1917
211,5200,"(-33.133330, 19.383330)",Cold Bokkeveld,CM2,1838
212,469,"(43.761110, -84.507780)",Coleman,L6,1994
213,5000,"(42.533330, 12.616670)",Collescipoli,H5,1890
214,20350,"(-19.850000, -47.550000)",Conquista,H4,1965
215,1200,"(21.166670, -100.866670)",Cosina,H5,1844
216,1460,"(10.200000, 76.266670)",Cranganore,L6,1917
217,78.4,"(35.950000, -97.583330)",Crescent,CM2,1936
218,3650,"(-27.700000, 27.300000)",Cronstad,H5,1877
219,167,"(35.633330, -78.133330)",Cross Roads,H5,1892
220,4255,"(54.616670, -6.216670)",Crumlin,L5,1902
221,17000,"(36.833330, -84.350000)",Cumberland Falls,Aubrite,1919
222,6000,"(38.400000, -84.250000)",Cynthiana,L/LL4,1877
223,18000,"(35.616670, 8.833330)",Dahmani,LL6,1981
224,5650,"(26.916670, 83.966670)",Dandapur,L6,1878
225,1064,"(-28.200000, 24.566670)",Daniel's Kuil,EL6,1868
226,2000,"(34.400000, -87.066670)",Danville,L6,1868
227,100,"(49.866670, 8.650000)",Darmstadt,H5,1804
228,7000,"(41.984440, 59.685000)",Dashoguz,H5,1998
229,6580,"(-1.870890, -79.957560)",Daule,L5,2008
230,340,"(43.000000, -80.000000)",De Cewsville,H6,1887
231,28,"(40.250000, -74.000000)",Deal,L6,1829
232,0.8,"(28.566670, 77.250000)",Delhi,L5,1897
233,16400,"(51.466670, 84.766670)",Demina,L6,1911
234,230,"(39.782500, -104.930560)",Denver,L6,1967
235,12500,"(26.683330, 93.866670)",Dergaon,H5,2001
236,25400,"(25.733330, 73.616670)",Desuri,H6,1962
237,12000,"(19.000000, 81.000000)",Devgaon,H3.8,2001
238,1140,"(24.225000, 76.525000)",Devri-Khera,L6,1994
239,45000,"(22.377780, 71.427220)",Dhajala,H3.8,1976
240,1800,"(14.883330, 75.600000)",Dharwar,OC,1848
241,32000,"(32.233330, 76.466670)",Dhurmsala,LL6,1860
242,3396,"(37.351720, 27.329970)",Didim,H3-5,2007
243,1000,"(-33.750000, 18.566670)",Diep River,L6,1906
244,400,"(-31.883330, -60.466670)",Distrito Quebracho,H4,1957
245,166000,"(-7.500000, 111.500000)",Djati-Pengilon,H6,1884
246,3950,"(12.733330, 15.050000)",Djermaia,H,1961
247,10000,"(36.950000, 9.550000)",Djoumine,H5-6,1999
248,3840,"(23.500000, 90.333330)",Dokachi,H5,1903
249,1600,"(50.750000, 25.300000)",Dolgovoli,L6,1864
250,438,"(40.000000, 29.000000)",Domanitch,L5,1907
251,128800,"(45.500000, 119.033330)",Dong Ujimqin Qi,Mesosiderite,1995
252,230,"(21.866670, 82.450000)",Donga Kohrod,H6,1899
253,5500,"(32.916670, 120.783330)",Dongtai,LL6,1970
254,3891,"(51.200000, 112.300000)",Doroninsk,H5-7,1805
255,1250,"(13.050000, 3.166670)",Dosso,L6,1962
256,1161,"(32.333330, -6.300000)",Douar Mghila,LL6,1932
257,642,"(-13.666670, 33.916670)",Dowa,Stone-uncl,1976
258,5000,"(36.400000, -86.500000)",Drake Creek,L6,1827
259,47700,"(42.520000, -82.260000)",Dresden (Ontario),H6,1939
260,1900,"(42.458330, 18.441670)",Dubrovnik,L3-6,1951
261,30,"(-31.666670, 152.833330)",Dunbogan,L6,1999
262,2270,"(52.550000, -8.033330)",Dundrum,H5,1865
263,,"(43.333330, 128.250000)",Dunhua,Stone-uncl,1976
264,13200,"(30.300000, 76.633330)",Durala,L6,1815
265,577,"(-4.000000, 39.500000)",Duruma,L6,1853
266,2117,"(33.433330, 127.266670)",Duwun,L6,1943
267,3230,"(-27.200000, 31.316670)",Dwaleni,H4-6,1970
268,300,"(26.250000, 82.000000)",Dyalpur,Ureilite,1872
269,188,"(-3.000000, 151.000000)",Dyarrl Island,Mesosiderite-A1,1933
270,10000,"(40.781670, -96.471670)",Eagle,EL6,1947
271,2400,"(-17.300000, 15.833330)",Ehole,H5,1961
272,3000,"(48.900000, 11.216670)",Eichstädt,H5,1785
273,3336,"(56.033330, 13.000000)",Ekeby,H4,1939
274,840,"(28.266670, 78.783330)",Ekh Khera,H6,1916
275,10000,"(34.416670, 3.250000)",El Idrissia,L6,1989
276,17226,"(25.370000, -97.370000)",El Paso de Aguila,H5,1977
277,5000,"(19.967220, -103.051670)",El Tigre,L6,1993
278,680.5,"(39.246670, -104.588170)",Elbert,LL6,1998
279,107000,"(50.183330, 12.733330)",Elbogen,"Iron, IID",1399
280,54640,"(47.833330, 37.666670)",Elenovka,L5,1951
281,1470,"(51.750000, 4.000000)",Ellemeet,Diogenite,1925
282,127,"(-29.466670, 151.616670)",Emmaville,Eucrite-mmict,1900
283,8000,"(30.300000, 109.500000)",Enshi,H5,1974
284,127000,"(47.866670, 7.350000)",Ensisheim,LL6,1491
285,277,"(48.183330, 6.466670)",Épinal,H5,1822
286,113,"(19.033330, 81.891670)",Erakot,CM2,1940
287,107.2,"(40.300000, 44.500000)",Erevan,Howardite,1911
288,20000,"(1.166670, 44.166670)",Ergheo,L5,1889
289,2250,"(52.216670, 11.250000)",Erxleben,H6,1812
290,1500,"(46.250000, -1.100000)",Esnandes,L6,1837
291,500,"(2.883330, 30.833330)",Essebi,C2-ung,1957
292,320000,"(43.416670, -94.833330)",Estherville,Mesosiderite-A3/4,1879
293,89400,"(39.750000, -97.033330)",Farmington,L5,1890
294,56000,"(35.550000, -77.533330)",Farmville,H4,1934
295,1500,"(44.383330, 2.816670)",Favars,H5,1844
296,2360,"(36.050000, -94.166670)",Fayetteville,H4,1934
297,380,"(36.883330, 8.450000)",Feid Chair,H4,1875
298,3200,"(32.533330, -87.166670)",Felix,CO3.3,1900
299,82,"(34.600000, 116.750000)",Fenghsien-Ku,H5,1924
300,220,"(36.100000, -81.416670)",Ferguson,OC,1889
301,10200,"(43.181110, 13.753330)",Fermo,H3-5,1996
302,17600,"(47.816670, -96.850000)",Fisher,L6,1894
303,3640,"(30.833330, -97.766670)",Florence,H3,1922
304,152000,"(43.250000, -93.666670)",Forest City,H5,1890
305,26000,"(-33.350000, 146.858330)",Forest Vale,H4,1942
306,6067,"(36.783330, -78.083330)",Forksville,L6,1924
307,240,"(50.950000, 7.316670)",Forsbach,H6,1900
308,16300,"(33.016670, -83.966670)",Forsyth,L6,1829
309,,"(28.250000, 7.000000)",Fort Flatters,Stone-uncl,1944
310,650,"(34.483330, -87.833330)",Frankfort (stone),Howardite,1868
311,23000,"(31.475560, 113.566940)",Fuhe,L5,1945
312,11620,"(33.183330, 130.200000)",Fukutomi,L5,1882
313,,"(55.333330, 10.333330)",Fünen,Stone-uncl,1654
314,4000,"(25.950000, 80.816670)",Futtehpur,L6,1822
315,2500,"(32.900000, 115.900000)",Fuyang,Stone-uncl,1977
316,132.7,"(44.300000, 0.400000)",Galapian,H6,1826
317,36.1,"(7.050000, 12.433330)",Galim (a),LL6,1952
318,28,"(7.050000, 12.433330)",Galim (b),EH3/4-an,1952
319,5000,"(51.683330, 30.783330)",Galkiv,H4,1995
320,6400,"(27.350000, 68.533330)",Gambat,L6,1897
321,,"(11.650000, -2.183330)",Gao-Guenie,H5,1960
322,380,"(27.883330, 68.533330)",Garhi Yasin,"Iron, IIE",1917
323,102,"(41.683330, -112.133330)",Garland,Diogenite-pm,1950
324,4162,"(12.850000, 11.033330)",Gashua,L6,1984
325,,"(14.150830, -2.041670)",Gasseltepaoua,H5,2000
326,725,"(12.916670, 11.916670)",Geidam,H5,1950
327,14290,"(35.533330, 136.883330)",Gifu,L6,1909
328,18000,"(37.316670, 13.566670)",Girgenti,L6,1853
329,480,"(9.600000, 9.916670)",Git-Git,L6,1947
330,670,"(52.200000, 6.866670)",Glanerbrug,L/LL5,1990
331,1303,"(-7.250000, 107.700000)",Glanggang,H5-6,1939
332,152000,"(57.350000, 37.616670)",Glasatovo,H4,1918
333,767,"(52.459720, -0.300000)",Glatton,L6,1991
334,1750,"(50.666670, 16.766670)",Gnadenfrei,H5,1879
335,1600,"(24.233330, 89.050000)",Gopalpur,H6,1865
336,3618,"(48.283330, 38.083330)",Gorlovka,H3.7,1974
337,9000,"(42.900000, 2.250000)",Granes,L6,1964
338,45.5,"(60.666670, 11.000000)",Grefsheim,L5,1976
339,215,"(43.200000, -79.616670)",Grimsby,H5,2009
340,3500,"(43.666670, 45.383330)",Grosnaja,CV3,1861
341,10500,"(49.266670, 18.716670)",Gross-Divina,H5,1837
342,8000,"(46.350000, 30.583330)",Grossliebenthal,L6,1881
343,1000,"(51.933330, 15.500000)",Grüneberg,H4,1841
344,690,"(52.866670, 16.633330)",Grzempach,H5,1910
345,22000,"(-33.000000, -58.616670)",Gualeguaychú,H6,1932
346,2910,"(39.804170, 122.763890)",Guangmingshan,H5,1996
347,,"(24.100000, 105.000000)",Guangnan,L6,1983
348,1900,"(37.100000, 118.400000)",Guangrao,L6,1980
349,39000,"(38.733330, -6.016670)",Guareña,H6,1892
350,1915,"(43.766670, 20.233330)",Guêa,Stone-uncl,1891
351,288,"(13.500000, -0.683330)",Guibga,L5,1972
352,968,"(9.916670, 13.983330)",Guidder,LL5,1949
353,2449,"(22.983330, 76.050000)",Gujargaon,H5,1982
354,100000,"(11.491670, 11.658330)",Gujba,CBa,1984
355,5700,"(42.900000, 24.700000)",Gumoschnik,H5,1904
356,28,"(13.783330, 78.566670)",Gurram Konda,L6,1814
357,34650,"(9.366670, 42.416670)",Gursum,H4/5,1981
358,1000,"(51.916670, 8.383330)",Gütersloh,H3/4,1851
359,1320,"(35.000000, 127.500000)",Gyokukei,OC,1930
360,0.2,"(35.650000, 139.333330)",Hachi-oji,H?,1817
361,9000,"(50.316670, 3.733330)",Hainaut,H3-6,1934
362,1456,"(57.816670, 16.233330)",Hallingeberg,L3.4,1944
363,3710,"(41.383330, -86.600000)",Hamlet,LL4,1959
364,1000,"(26.800000, 82.533330)",Haraiya,Eucrite-mmict,1878
365,315,"(28.383330, 75.783330)",Haripura,CM2,1921
366,8360,"(32.675000, -94.511670)",Harleton,L6,1961
367,680,"(38.250000, -86.166670)",Harrison County,L6,1859
368,1110.6,"(35.294500, 136.700330)",Hashima,H4,1910
369,1250,"(28.950000, 0.816670)",Hassi-Jekna,"Iron, IAB-sHL",1890
370,29000,"(51.650000, -1.516670)",Hatford,Stone-uncl,1628
371,1544,"(60.245560, 22.061940)",Haverö,Ureilite,1971
372,3500,"(55.466670, 13.783330)",Hedeskoga,H5,1922
373,6100,"(27.333330, 35.666670)",Hedjaz,L3.7-6,1910
374,1000,"(10.000000, -84.100000)",Heredia,H5,1857
375,20000,"(59.850000, 17.666670)",Hessle,H5,1869
376,750,"(33.600000, 130.433330)",Higashi-koen,H5,1897
377,4500,"(55.900000, -4.233330)",High Possil,L6,1804
378,414,"(34.450000, 132.383330)",Hiroshima,H5,2003
379,167.7,"(1.345000, 31.472780)",Hoima,H6,2003
380,305.5,"(64.433330, 21.200000)",Hökmark,L4,1954
381,220000,"(34.900000, -110.183330)",Holbrook,L/LL6,1912
382,1415,"(9.066670, 38.416670)",Holetta,Stone-uncl,1923
383,230000,"(41.800000, -91.866670)",Homestead,L5,1875
384,2420,"(21.300000, -157.866670)",Honolulu,L5,1825
385,180,"(35.666670, 115.500000)",Hotse,L6,1956
386,266.1,"(39.350000, -100.450000)",Hoxie,OC,1963
387,49000,"(46.100000, 16.333330)",Hraschina,"Iron, IID",1751
388,1600,"(26.464690, 106.632410)",Huaxi,H5,2010
389,112,"(50.300000, 8.916670)",Hungen,H6,1877
390,14000,"(61.183330, 22.683330)",Hvittis,EL6,1901
391,2000,"(52.283330, 7.700000)",Ibbenbüren,Diogenite,1870
392,2500,"(-20.000000, -45.000000)",Ibitira,Eucrite-mmict,1957
393,,"(38.000000, 35.000000)",Ibrisim,OC,1949
394,3973,"(58.200000, 82.933330)",Ichkala,H6,1936
395,3457,"(-32.100000, 28.333330)",Idutywa,H5,1956
396,1200,"(-23.200000, -51.833330)",Iguaracu,H5,1977
397,7330,"(-6.033330, 145.366670)",Ijopega,H6,1975
398,27000,"(39.750000, 46.666670)",Indarch,EH4,1891
399,880,"(39.083330, -94.400000)",Independence,L6,1917
400,3000,"(41.000000, 112.000000)",Inner Mongolia,L6,1963
401,4576,"(53.415000, -111.337500)",Innisfree,L5,1977
402,7000,"(-25.500000, -54.500000)",Ipiranga,H6,1972
403,1300,"(-8.933330, 33.800000)",Ishinga,H,1954
404,3050,"(-31.183330, -57.950000)",Isthilart,H5,1928
405,2024,"(-3.400000, -44.333330)",Itapicuru-Mirim,H5,1879
406,4720,"(26.590830, -12.952170)",Itqiy,EH7-an,1990
407,704.5,"(-8.416670, 32.433330)",Ivuna,CI1,1938
408,48000,"(-32.500000, 21.900000)",Jackalsfontein,L6,1903
409,973,"(26.750000, 68.416670)",Jajh deh Kot Lalu,EL6,1926
410,700,,Jalanash,Ureilite,1990
411,1967,"(31.000000, 75.000000)",Jalandhar,Iron,1621
412,22,"(18.750000, 75.333330)",Jamkheir,H6,1866
413,20500,"(39.700000, 105.800000)",Jartai,L6,1979
414,34000,"(43.833330, 20.441670)",Jelica,LL6,1889
415,450,,Jemlapur,L6,1901
416,3667,"(46.421370, 14.052170)",Jesenice,L6,2009
417,5900,"(31.300000, 72.383330)",Jhung,L5,1873
418,222,"(31.916670, 104.916670)",Jiange,H5,1964
419,600000,"(30.808330, 109.500000)",Jianshi,"Iron, IIIAB",1890
420,4000000,"(44.050000, 126.166670)",Jilin,H5,1976
421,100,"(22.680000, 70.313330)",Jodiya,L5,2006
422,30,"(55.700000, 24.400000)",Jodzie,Howardite,1877
423,40300,"(40.350000, -104.900000)",Johnstown,Diogenite,1924
424,483,"(-11.850000, 15.833330)",Jolomba,LL6,1974
425,5000,"(45.433330, -0.450000)",Jonzac,Eucrite-mmict,1819
426,100000,"(35.500000, 115.416670)",Juancheng,H5,1997
427,680,"(12.850000, 76.800000)",Judesegeri,H6,1876
428,32490,"(-7.716670, 111.200000)",Jumapalo,L6,1984
429,950,"(35.200000, 118.800000)",Junan,L6,1976
430,25250,"(38.740280, -7.270000)",Juromenha,"Iron, IIIAB",1968
431,91000,"(44.716670, 4.300000)",Juvinas,Eucrite-mmict,1821
432,3000,"(47.350000, 21.300000)",Kaba,CV3,1857
